model,x_cm,z_cm,combined,n,fallback_pct,period
monthly_w56_h28_huber,2.8335877577965474,2.6876739762179542,2.761594737065315,41477.0,0.0,all
last_month,2.8341223714056945,2.690771217501908,2.763376499957881,41477.0,0.0,all
precision_h1_q1,2.8334940635121093,2.6915580358008007,2.763437467000314,41477.0,0.0,all
kalman_q4,2.836248177970757,2.6914016219728794,2.764773627062502,41477.0,0.0,all
monthly_w84_h28_huber,2.838599403205885,2.689825152759038,2.7652130048421215,41477.0,0.0,all
precision_h0.5_q0.25,2.8364918121377136,2.693126986449338,2.7657384877701277,41477.0,0.0,all
precision_h2_q2,2.8361149619458996,2.694339798142598,2.766135844931381,41477.0,0.0,all
adaptive_q2,2.8387884093271625,2.6930237280540963,2.766866136334809,41477.0,0.0,all
kalman_q2,2.8387884093271625,2.6930237280540963,2.766866136334809,41477.0,0.0,all
kalman_q1,2.8399961534342233,2.6954622400417274,2.768672501309242,41477.0,0.0,all
precision_h2_q1,2.8393862514060975,2.696656255848,2.7689410653603774,41477.0,0.0,all
ewma_w2_h1,2.8393396825221653,2.6973522793307056,2.7692561412368146,41477.0,0.0,all
adaptive_q1,2.843135942530873,2.693926359506994,2.7695361721917915,41477.0,0.0,all
adaptive_q0.5,2.8438135370099538,2.6968119314208963,2.7712876092833785,41477.0,0.0,all
kalman_q0.5,2.845715250677664,2.6984107381779823,2.7730412726692046,41477.0,0.0,all
ewma_w3_h1,2.8468371979080023,2.697440569421277,2.773145114932905,41477.0,0.0,all
precision_h1_q0.25,2.844626282976896,2.70013416503922,2.7733214021291324,41477.0,0.0,all
ewma_w6_h1,2.8470068278548566,2.699168394663215,2.774072628879872,41477.0,0.0,all
monthly_w56_hflat,2.852571379900033,2.6979575661088115,2.7763409828359125,41477.0,0.0,all
ewma_w2_h2,2.8497551577490903,2.703809479802975,2.777741003242561,41477.0,0.0,all
ewma_w2_h3,2.854228628151931,2.7065108739546315,2.781350586729109,41477.0,0.0,all
precision_h2_q0.25,2.8555791960905164,2.7103240497740626,2.783899154057905,41477.0,0.0,all
ema_a0.5,2.8629635366326673,2.7033037869473557,2.7842783245045872,41477.0,0.0,all
trend_d0.25,2.861465326828998,2.7049591797829877,2.784312121596359,41477.0,0.0,all
kalman_q0.25,2.8648147428556268,2.7052261620436813,2.7861633206515855,41477.0,0.0,all
ewma_w3_h2,2.8677805935350738,2.707422431509529,2.7887543595033026,41477.0,0.0,all
ewma_w6_h2,2.8717361868386932,2.714492851668547,2.79422083670551,41477.0,0.0,all
ewma_w3_h3,2.8772081035192554,2.711979170132678,2.795814504772303,41477.0,0.0,all
monthly_w84_hflat,2.8811015159293767,2.7089942213162685,2.796372260287915,41477.0,0.0,all
ewma_w6_h3,2.8841634998279546,2.722411833410681,2.8044540720463176,41477.0,0.0,all
trend_d0.5,2.9108077484457713,2.7315995879078248,2.8226262644096316,41477.0,0.0,all
season_to_date,2.9135630397260055,2.731372523506573,2.823937450495682,41477.0,0.0,all
uncorrected,6.078316490503878,4.2866213064483185,5.259327598829915,41477.0,0.0,all
