season,month,park,x_cm,z_cm,x_se,z_se,min_raw_cov_eigenvalue,games,pitchers,rows,pitches
2022,4,대구,2.645872110635543,4.333582154977054,0.5127516646570909,0.4015774459831004,2.390099734325852e-18,12,51,182,2922
2022,4,대전구,14.21822306401664,3.3547003888966564,0.4281186284890951,0.3739711930276216,2.390099734325852e-18,12,61,216,3159
2022,4,문학,-4.743808984560074,3.8686011194769607,0.34821939230212134,0.315166095914396,2.390099734325852e-18,11,51,177,2699
2022,4,사직,3.42899807540471,1.620550252408579,0.4485868712195244,0.35115346014835874,2.390099734325852e-18,12,54,191,3106
2022,4,수원,14.749425019185594,5.526679630687654,0.6009302089627119,0.509727772357168,2.390099734325852e-18,13,53,185,3045
2022,4,잠실,0.0,0.0,0.19999999999999998,0.19999999999999996,2.390099734325852e-18,25,92,371,5881
2022,4,창원,8.18279938474776,2.034780813315959,0.5823267055140767,0.33576510206652144,2.390099734325852e-18,13,59,208,3304
2022,5,고척,9.15161263546566,10.31160653316451,0.42887451497580203,0.28575622914701243,-4.197286044105295e-18,11,51,166,2747
2022,5,광주,6.875792168760011,2.460839553227525,0.45877114967828614,0.36979866308831877,-4.197286044105295e-18,13,58,205,3362
2022,5,대구,0.5898137964403141,5.213424510374316,0.6547006452448835,0.354878583404992,-4.197286044105295e-18,14,54,216,3662
2022,5,대전구,13.21282283425563,3.4674111066417517,0.4353997451531259,0.33634520804903384,-4.197286044105295e-18,13,57,210,3299
2022,5,문학,-4.80318878911466,3.687177716275265,0.3584983488767828,0.30644600246250736,-4.197286044105295e-18,14,57,213,3424
2022,5,사직,2.8616696096078176,1.4843046052000748,0.44568771719457406,0.3841255355485588,-4.197286044105295e-18,13,49,190,3154
2022,5,수원,14.426986379352016,5.8272800146159485,0.5074082882673816,0.48262319991912883,-4.197286044105295e-18,12,56,191,3084
2022,5,잠실,0.0,0.0,0.20000000000000007,0.2,-4.197286044105295e-18,26,104,421,6835
2022,5,창원,9.044851689522243,1.413984012303315,0.6001828369160666,0.29588423904497063,-4.197286044105295e-18,13,61,212,3513
2022,6,고척,9.581805146473656,10.608407788583273,0.462846716467983,0.31321253291800294,2.4017094949705157e-18,14,61,216,3240
2022,6,광주,8.356513548952922,1.8970659424922642,0.41552775071224746,0.309328850994088,2.4017094949705157e-18,11,48,185,2873
2022,6,대구,2.142267542263042,4.165463853253815,0.3699698807359971,0.33401598367177243,2.4017094949705157e-18,11,53,169,2778
2022,6,대전구,13.826338813541353,2.631058855054733,0.5613286397670663,0.3286856441120608,2.4017094949705157e-18,11,57,191,2821
2022,6,문학,-4.139047378129101,3.6546832727283824,0.4099122957384116,0.30970596911540954,2.4017094949705157e-18,10,46,155,2505
2022,6,사직,2.777544399300389,1.325170117693176,0.40565122418699195,0.3812041354007702,2.4017094949705157e-18,16,65,230,3647
2022,6,수원,14.539820795751895,6.18365846226002,0.6396959059446203,0.49386270710985963,2.4017094949705157e-18,11,48,170,2745
2022,6,잠실,0.0,0.0,0.19999999999999996,0.2,2.4017094949705157e-18,23,81,289,4177
2022,6,창원,8.442068294831145,1.2795480944502629,0.6258305042801044,0.3515443188868185,2.4017094949705157e-18,10,45,153,2477
2022,7,고척,9.440725154317867,11.98483267971574,0.8395183387296675,0.3474105584190002,-1.663169079342406e-17,9,43,134,2148
2022,7,광주,8.874691963911244,2.2139835583815786,0.38926309672501286,0.3639604569143983,-1.663169079342406e-17,10,52,155,2438
2022,7,대구,3.7375389680899778,5.441855055020058,0.39553901618421056,0.38958106170625345,-1.663169079342406e-17,9,43,157,2283
2022,7,대전구,14.950430980502304,3.765682726115947,0.49636117608907593,0.5406815191053748,-1.663169079342406e-17,8,41,130,2126
2022,7,문학,-3.2965490111338855,4.3037215196452445,0.38681263378541014,0.27031590945688505,-1.663169079342406e-17,11,50,163,2505
2022,7,사직,4.796256681286641,1.9349502001406957,0.4811733040766329,0.538471455007912,-1.663169079342406e-17,6,30,96,1501
2022,7,수원,16.26259570869393,6.855146760218098,0.5593521204509285,0.513090454828268,-1.663169079342406e-17,11,47,165,2628
2022,7,잠실,0.0,0.0,0.19999999999999998,0.2,-1.663169079342406e-17,18,72,271,4379
2022,7,창원,10.514027967977245,0.7703807285789122,0.45087750778938024,0.3614248080589233,-1.663169079342406e-17,10,53,176,2600
2022,8,고척,11.026084517916622,11.43884183502421,0.5503587541692477,0.3060556566628982,-1.5353482965393221e-19,12,45,195,2999
2022,8,광주,8.23426831063701,1.7080355936022098,0.3505604050981352,0.3167679121867504,-1.5353482965393221e-19,10,46,165,2690
2022,8,대구,4.196185449491242,5.951605824080152,0.7032060235736091,0.36224767357752646,-1.5353482965393221e-19,6,36,98,1461
2022,8,대전구,15.197902319648158,3.8753730946688627,0.3699130497697132,0.334373616293251,-1.5353482965393221e-19,13,57,220,3308
2022,8,문학,-2.7206292715808367,4.446213357471763,0.3785120308390029,0.2736816536325002,-1.5353482965393221e-19,11,46,171,2665
2022,8,사직,3.553795257372901,1.0440172081465313,0.3655880413520145,0.3324667767853365,-1.5353482965393221e-19,13,63,205,3007
2022,8,수원,15.326609739279538,6.158979989608073,0.43028654234523106,0.37548494318061015,-1.5353482965393221e-19,12,55,182,2908
2022,8,잠실,0.0,0.0,0.19999999999999998,0.19999999999999998,-1.5353482965393221e-19,22,75,319,5187
2022,8,창원,10.252566571650494,1.4177036328147388,0.5656027680685317,0.3542993692800559,-1.5353482965393221e-19,10,43,160,2518
2022,9,고척,10.547170214103364,11.202040321403443,0.5824006034398639,0.30599511479979596,6.32416454924341e-18,13,77,225,3421
2022,9,광주,9.118984741153575,2.5180548528527646,0.47686237156944616,0.3283762394075543,6.32416454924341e-18,11,59,182,2997
2022,9,대구,2.862064226845124,5.329935598969386,0.5188358860621799,0.34835528960174245,6.32416454924341e-18,15,67,199,3070
2022,9,대전구,15.717160649704978,4.177668093405384,0.706085684713125,0.33766282784926216,6.32416454924341e-18,12,60,190,2882
2022,9,문학,-3.385410682408299,4.383194965424775,0.4165761365823678,0.2204318866054784,6.32416454924341e-18,15,70,237,3764
2022,9,사직,4.244995469304516,1.696849707253282,0.5269320607958284,0.39690007584775594,6.32416454924341e-18,7,42,129,1762
2022,9,수원,15.292645586169431,6.725920650547134,0.6186301184307262,0.5150031996032443,6.32416454924341e-18,10,52,144,2428
