park,x_cm,z_cm,season,month
문학,-1.2239232130590665,3.1818225083625657,2021,9
사직,1.4155905310173376,-2.030650922049032,2021,9
수원,14.109082001829467,6.79170269119587,2021,9
잠실,0.0,0.0,2021,9
창원,2.020238757052973,1.8339628229041223,2021,9
고척,9.406936995564038,8.978181141397851,2021,10
광주,11.442483486727916,1.3639790082020964,2021,10
대구,3.7622811516760493,4.417360293437067,2021,10
대전구,17.62844653476327,2.8669891160665326,2021,10
문학,-3.2616196341886825,2.610476057131935,2021,10
사직,0.660129695790534,-2.0605173003673274,2021,10
수원,13.466358206046408,5.299775276334906,2021,10
잠실,0.0,0.0,2021,10
창원,-1.0327678664309232,1.4449676243433958,2021,10
고척,9.720192701408216,10.516591349578395,2022,4
광주,6.749210826339281,2.619602770553428,2022,4
대구,2.6458721106355405,4.333582154977051,2022,4
대전구,14.218223064016641,3.3547003888966613,2022,4
문학,-4.743808984560071,3.8686011194769625,2022,4
사직,3.4289980754047376,1.6205502524085804,2022,4
수원,14.749425019185598,5.526679630687648,2022,4
잠실,0.0,0.0,2022,4
창원,8.182799384747785,2.0347808133159586,2022,4
고척,9.151612635465641,10.311606533164504,2022,5
광주,6.875792168759993,2.460839553227517,2022,5
대구,0.5898137964403052,5.213424510374318,2022,5
대전구,13.212822834255618,3.4674111066417455,2022,5
문학,-4.8031887891146585,3.687177716275257,2022,5
사직,2.8616696096078,1.484304605200073,2022,5
수원,14.426986379352007,5.827280014615942,2022,5
잠실,0.0,0.0,2022,5
창원,9.04485168952225,1.413984012303307,2022,5
고척,9.58180514647367,10.608407788583289,2022,6
광주,8.356513548952933,1.8970659424922678,2022,6
대구,2.1422675422630433,4.165463853253815,2022,6
대전구,13.82633881354135,2.631058855054733,2022,6
문학,-4.1390473781291135,3.6546832727283842,2022,6
사직,2.7775443993003774,1.3251701176931707,2022,6
수원,14.539820795751899,6.18365846226002,2022,6
잠실,0.0,0.0,2022,6
창원,8.442068294831136,1.27954809445027,2022,6
고척,9.440725154317867,11.98483267971574,2022,7
광주,8.874691963911246,2.213983558381578,2022,7
대구,3.7375389680899778,5.441855055020058,2022,7
대전구,14.950430980502304,3.7656827261159465,2022,7
문학,-3.2965490111338838,4.3037215196452445,2022,7
사직,4.796256681286642,1.9349502001406957,2022,7
수원,16.26259570869393,6.855146760218098,2022,7
잠실,0.0,0.0,2022,7
창원,10.514027967977245,0.7703807285789122,2022,7
고척,11.026084517916605,11.438841835024213,2022,8
광주,8.234268310637002,1.7080355936022062,2022,8
대구,4.19618544949123,5.951605824080151,2022,8
대전구,15.197902319648144,3.875373094668852,2022,8
문학,-2.720629271580851,4.446213357471759,2022,8
사직,3.5537952573728617,1.0440172081465189,2022,8
수원,15.326609739279503,6.158979989608069,2022,8
잠실,0.0,0.0,2022,8
창원,10.252566571650451,1.417703632814721,2022,8
고척,10.547170214103364,11.202040321403434,2022,9
광주,9.118984741153557,2.5180548528527584,2022,9
대구,2.86206422684511,5.329935598969373,2022,9
대전구,15.717160649704972,4.177668093405379,2022,9
문학,-3.3854106824083123,4.383194965424766,2022,9
사직,4.244995469304511,1.6968497072532722,2022,9
수원,15.292645586169431,6.725920650547117,2022,9
잠실,0.0,0.0,2022,9
창원,9.369047784272613,1.717422424979353,2022,9
고척,10.30054259164477,9.387576310506834,2023,4
광주,5.486904183119741,2.1978868459977967,2023,4
대구,1.8173969027984178,4.330404544103974,2023,4
대전구,16.944875210271455,2.7784611441124016,2023,4
문학,-3.1149707380842386,3.116665636053953,2023,4
사직,-1.2708147248935049,-0.3334975888633438,2023,4
수원,14.302101059933555,4.995386197020127,2023,4
잠실,0.0,0.0,2023,4
창원,6.069988804667389,0.8687009745647174,2023,4
고척,9.98562342060465,9.992052163629456,2023,5
광주,7.556007830999349,2.1841743060166365,2023,5
대구,3.154260608693248,3.9429689155810577,2023,5
대전구,16.800372734498833,3.4808354053049744,2023,5
문학,-3.8879828395681235,3.8500333536689935,2023,5
사직,-1.2130434955769323,0.5102278895228185,2023,5
수원,14.761117649718052,5.754036099429958,2023,5
잠실,0.0,0.0,2023,5
창원,6.3086421021963055,1.2513755833791436,2023,5
고척,9.272878886359898,10.335803570406654,2023,6
광주,7.520551832286568,1.8824051552838248,2023,6
대구,2.8092452815442908,4.768338245810424,2023,6
대전구,17.370321518559287,2.8681252128011314,2023,6
문학,-2.9821376782586704,4.260924695399572,2023,6
사직,-0.37471853865071836,-0.23836715913691453,2023,6
수원,14.329834016036347,6.349021183543758,2023,6
잠실,0.0,0.0,2023,6
창원,6.946185908085678,1.0392638600980968,2023,6
고척,10.659542774771857,10.936287470864444,2023,7
광주,8.743623062907947,1.1332730338212529,2023,7
대구,3.211241541593237,4.282256588361259,2023,7
대전구,17.413565712631986,2.872666873769173,2023,7
문학,-3.7870699088983795,3.547069383232194,2023,7
사직,0.26994355094273104,-0.6363200313428568,2023,7
수원,14.965498121645606,6.5238493216609665,2023,7
잠실,0.0,0.0,2023,7
창원,7.0781084274187975,0.5581952718602956,2023,7
고척,10.648770951781621,10.911921536311297,2023,8
광주,7.982751597554955,1.8498437978640843,2023,8
대구,4.123420575527398,4.483282287815456,2023,8
대전구,18.43669541914923,3.267123720742197,2023,8
문학,-3.621548693187492,4.45084894034461,2023,8
사직,0.15819992126069238,-0.8115305807836659,2023,8
