season,fold,model,metric,n,sse
2022,4,monthly,x_cm,1542,12603.048997780501
2022,4,monthly,z_cm,1542,9630.831478394679
2022,4,monthly,depth_cm,1542,9836.307081434199
2022,4,monthly,arrival_ms,1542,1153.4539127946437
2022,4,pitch_type,x_cm,1542,10992.262605998521
2022,4,pitch_type,z_cm,1542,9190.654260273057
2022,4,pitch_type,depth_cm,1542,9308.916338788837
2022,4,pitch_type,arrival_ms,1542,1116.2050364921338
2023,0,baseline,x_cm,1885,87954.57003152718
2023,0,baseline,z_cm,1885,27041.709143397195
2023,0,baseline,depth_cm,1885,101861.53403964324
2023,0,baseline,arrival_ms,1885,10524.507464679533
2023,0,annual,x_cm,1885,16467.1552904462
2023,0,annual,z_cm,1885,10743.06505987302
2023,0,annual,depth_cm,1885,31544.709098541163
2023,0,annual,arrival_ms,1885,3237.5114921233085
2023,0,monthly,x_cm,1885,16278.63439687703
2023,0,monthly,z_cm,1885,11115.490323518708
2023,0,monthly,depth_cm,1885,16974.76460456001
2023,0,monthly,arrival_ms,1885,1729.6723969416735
2023,0,pitch_type,x_cm,1885,15162.24085980467
2023,0,pitch_type,z_cm,1885,10584.738294568855
2023,0,pitch_type,depth_cm,1885,31159.229504337916
2023,0,pitch_type,arrival_ms,1885,3220.3322482306903
2023,1,baseline,x_cm,1714,76151.20611132207
2023,1,baseline,z_cm,1714,24763.909261648107
2023,1,baseline,depth_cm,1714,84803.16302935101
2023,1,baseline,arrival_ms,1714,8775.180892737442
2023,1,annual,x_cm,1714,13656.929603669201
2023,1,annual,z_cm,1714,10059.908542063373
2023,1,annual,depth_cm,1714,23997.07878869426
2023,1,annual,arrival_ms,1714,2489.864732572772
2023,1,monthly,x_cm,1714,13387.466838810846
2023,1,monthly,z_cm,1714,9989.141812903621
2023,1,monthly,depth_cm,1714,13512.833162004026
2023,1,monthly,arrival_ms,1714,1383.9571612806608
2023,1,pitch_type,x_cm,1714,12698.113936358772
2023,1,pitch_type,z_cm,1714,9883.323264358096
2023,1,pitch_type,depth_cm,1714,23968.883358107712
2023,1,pitch_type,arrival_ms,1714,2436.5614106093635
2023,2,baseline,x_cm,1751,87568.8047036301
2023,2,baseline,z_cm,1751,27593.877352461706
2023,2,baseline,depth_cm,1751,91478.00930303328
2023,2,baseline,arrival_ms,1751,9772.134304451316
2023,2,annual,x_cm,1751,15667.601093397143
2023,2,annual,z_cm,1751,11306.532528609996
2023,2,annual,depth_cm,1751,28501.004660180697
2023,2,annual,arrival_ms,1751,2966.514346066907
2023,2,monthly,x_cm,1751,15432.918480925557
2023,2,monthly,z_cm,1751,11212.508280329837
2023,2,monthly,depth_cm,1751,16460.287053353935
2023,2,monthly,arrival_ms,1751,1615.1361047515998
2023,2,pitch_type,x_cm,1751,14261.316097091461
2023,2,pitch_type,z_cm,1751,10892.836992511053
2023,2,pitch_type,depth_cm,1751,27910.547132634478
2023,2,pitch_type,arrival_ms,1751,2979.2155662300975
2023,3,baseline,x_cm,1738,85040.72886629518
2023,3,baseline,z_cm,1738,30135.525094895766
2023,3,baseline,depth_cm,1738,87572.32827747153
2023,3,baseline,arrival_ms,1738,9392.207738382209
2023,3,annual,x_cm,1738,14596.981265066683
2023,3,annual,z_cm,1738,10346.422448242309
2023,3,annual,depth_cm,1738,27222.643876268237
2023,3,annual,arrival_ms,1738,2932.710121648262
2023,3,monthly,x_cm,1738,14076.218265964382
2023,3,monthly,z_cm,1738,10516.154963517763
2023,3,monthly,depth_cm,1738,14071.250189551516
2023,3,monthly,arrival_ms,1738,1511.8685613461394
2023,3,pitch_type,x_cm,1738,13547.057796585428
2023,3,pitch_type,z_cm,1738,10174.685133872586
2023,3,pitch_type,depth_cm,1738,26800.132659123243
2023,3,pitch_type,arrival_ms,1738,2913.966030411912
2023,4,baseline,x_cm,1748,85500.26354116449
2023,4,baseline,z_cm,1748,31301.516153392768
2023,4,baseline,depth_cm,1748,87255.01371916074
2023,4,baseline,arrival_ms,1748,9632.355745650724
2023,4,annual,x_cm,1748,16176.149662735259
2023,4,annual,z_cm,1748,10090.42008066686
2023,4,annual,depth_cm,1748,25691.78802278452
2023,4,annual,arrival_ms,1748,2846.5408913610027
2023,4,monthly,x_cm,1748,16024.270848299702
2023,4,monthly,z_cm,1748,9942.16447288142
2023,4,monthly,depth_cm,1748,13679.118996308021
2023,4,monthly,arrival_ms,1748,1482.3019020832712
2023,4,pitch_type,x_cm,1748,15244.45549521772
2023,4,pitch_type,z_cm,1748,9798.040839515419
2023,4,pitch_type,depth_cm,1748,25501.339279352054
2023,4,pitch_type,arrival_ms,1748,2816.6638318037985
2024,0,baseline,x_cm,2075,105744.64745290854
2024,0,baseline,z_cm,2075,54711.083102025645
2024,0,baseline,depth_cm,2075,106158.39402423686
2024,0,baseline,arrival_ms,2075,10997.263082904105
2024,0,annual,x_cm,2075,25708.45939927044
2024,0,annual,z_cm,2075,20826.246857172693
2024,0,annual,depth_cm,2075,30824.629233411106
2024,0,annual,arrival_ms,2075,3167.80255619969
2024,0,monthly,x_cm,2075,24063.65906198154
2024,0,monthly,z_cm,2075,19584.976136256668
2024,0,monthly,depth_cm,2075,21719.354434241017
2024,0,monthly,arrival_ms,2075,2204.5235726539795
2024,0,pitch_type,x_cm,2075,24247.09353023408
2024,0,pitch_type,z_cm,2075,20795.82093944582
2024,0,pitch_type,depth_cm,2075,30171.692129319457
2024,0,pitch_type,arrival_ms,2075,3160.423460081248
2024,1,baseline,x_cm,1933,98760.19683999654
2024,1,baseline,z_cm,1933,46950.62956602892
2024,1,baseline,depth_cm,1933,100313.30779466093
2024,1,baseline,arrival_ms,1933,10512.598033103175
2024,1,annual,x_cm,1933,22619.74739524833
2024,1,annual,z_cm,1933,21862.878254025774
2024,1,annual,depth_cm,1933,24654.056556543597
2024,1,annual,arrival_ms,1933,2460.303900132489
2024,1,monthly,x_cm,1933,21678.33115972687
2024,1,monthly,z_cm,1933,20840.64943845137
2024,1,monthly,depth_cm,1933,21629.967229910475
2024,1,monthly,arrival_ms,1933,2129.3667855555955
2024,1,pitch_type,x_cm,1933,21460.811782859884
2024,1,pitch_type,z_cm,1933,21537.743368591095
2024,1,pitch_type,depth_cm,1933,24208.862217431408
2024,1,pitch_type,arrival_ms,1933,2458.7997394116437
2024,2,baseline,x_cm,2024,102651.20606811512
2024,2,baseline,z_cm,2024,51822.8389730607
2024,2,baseline,depth_cm,2024,126839.8663269176
2024,2,baseline,arrival_ms,2024,13249.910339613134
2024,2,annual,x_cm,2024,22870.331549264414
2024,2,annual,z_cm,2024,19849.715082011186
2024,2,annual,depth_cm,2024,26471.517502263156
2024,2,annual,arrival_ms,2024,2665.8803148216166
2024,2,monthly,x_cm,2024,20513.74740143517
2024,2,monthly,z_cm,2024,17824.735676332748
2024,2,monthly,depth_cm,2024,18597.437466006028
2024,2,monthly,arrival_ms,2024,1872.9149694580535
2024,2,pitch_type,x_cm,2024,21977.61489581535
2024,2,pitch_type,z_cm,2024,19226.019546753974
2024,2,pitch_type,depth_cm,2024,25862.465534864317
2024,2,pitch_type,arrival_ms,2024,2621.6533784544863
2024,3,baseline,x_cm,2117,102169.65314809552
2024,3,baseline,z_cm,2117,52532.568606998866
2024,3,baseline,depth_cm,2117,113163.65052926406
2024,3,baseline,arrival_ms,2117,11956.127381895822
2024,3,annual,x_cm,2117,24601.04464556525
2024,3,annual,z_cm,2117,22871.186886659118
2024,3,annual,depth_cm,2117,30082.180330068077
2024,3,annual,arrival_ms,2117,3085.6622976705294
2024,3,monthly,x_cm,2117,22962.65391184933
2024,3,monthly,z_cm,2117,21597.595406830507
2024,3,monthly,depth_cm,2117,23525.93485029212
2024,3,monthly,arrival_ms,2117,2359.367672535551
2024,3,pitch_type,x_cm,2117,23562.060029276567
2024,3,pitch_type,z_cm,2117,22422.180626754733
2024,3,pitch_type,depth_cm,2117,29116.06235447117
2024,3,pitch_type,arrival_ms,2117,3050.978392386516
2024,4,baseline,x_cm,2046,107763.30109839758
2024,4,baseline,z_cm,2046,51546.70956964882
2024,4,baseline,depth_cm,2046,111742.39200358617
2024,4,baseline,arrival_ms,2046,11438.633558918697
2024,4,annual,x_cm,2046,25045.1052641188
2024,4,annual,z_cm,2046,23628.698972692968
2024,4,annual,depth_cm,2046,26431.29633794844
2024,4,annual,arrival_ms,2046,2737.18992638906
2024,4,monthly,x_cm,2046,22901.079780939435
2024,4,monthly,z_cm,2046,21381.902462854094
2024,4,monthly,depth_cm,2046,19615.005758403415
2024,4,monthly,arrival_ms,2046,1967.3026255330647
2024,4,pitch_type,x_cm,2046,23348.09549765125
2024,4,pitch_type,z_cm,2046,23269.967894548434
2024,4,pitch_type,depth_cm,2046,25401.703730313435
2024,4,pitch_type,arrival_ms,2046,2728.232151185289
2025,0,baseline,x_cm,1800,107717.65426052397
2025,0,baseline,z_cm,1800,83339.08550787265
2025,0,baseline,depth_cm,1800,92862.0723293929
2025,0,baseline,arrival_ms,1800,9394.06550917086
2025,0,annual,x_cm,1800,29661.488292133545
2025,0,annual,z_cm,1800,33082.71567536553
2025,0,annual,depth_cm,1800,62277.533274460206
2025,0,annual,arrival_ms,1800,6220.510975670583
2025,0,monthly,x_cm,1800,24974.14351569215
2025,0,monthly,z_cm,1800,29496.19901564513
2025,0,monthly,depth_cm,1800,44438.5180392532
2025,0,monthly,arrival_ms,1800,4187.67189469461
2025,0,pitch_type,x_cm,1800,28648.33592581534
2025,0,pitch_type,z_cm,1800,32106.194042955038
2025,0,pitch_type,depth_cm,1800,62810.092701623216
2025,0,pitch_type,arrival_ms,1800,6335.805842582847
2025,1,baseline,x_cm,2107,156763.4183817542
2025,1,baseline,z_cm,2107,87202.85346080776
2025,1,baseline,depth_cm,2107,132680.99505565365
2025,1,baseline,arrival_ms,2107,13669.369994695626
2025,1,annual,x_cm,2107,38161.02654982914
2025,1,annual,z_cm,2107,40026.06223162261
2025,1,annual,depth_cm,2107,87280.26547232087
2025,1,annual,arrival_ms,2107,8723.609094209492
2025,1,monthly,x_cm,2107,33524.48221046869
2025,1,monthly,z_cm,2107,36921.94092298878
2025,1,monthly,depth_cm,2107,60144.03394752404
2025,1,monthly,arrival_ms,2107,5789.260517331026
2025,1,pitch_type,x_cm,2107,36869.059607910815
2025,1,pitch_type,z_cm,2107,39106.79065246566
2025,1,pitch_type,depth_cm,2107,88067.64853291785
2025,1,pitch_type,arrival_ms,2107,8834.583769733132
2025,2,baseline,x_cm,1842,100643.47654401953
2025,2,baseline,z_cm,1842,67036.89234184482
2025,2,baseline,depth_cm,1842,95257.90431650743
2025,2,baseline,arrival_ms,1842,9850.313110173756
2025,2,annual,x_cm,1842,30931.799242906276
2025,2,annual,z_cm,1842,35285.12698385501
2025,2,annual,depth_cm,1842,64520.307298290005
2025,2,annual,arrival_ms,1842,6588.063370765967
2025,2,monthly,x_cm,1842,25241.943096679865
2025,2,monthly,z_cm,1842,33086.62004117959
2025,2,monthly,depth_cm,1842,60271.04155186656
2025,2,monthly,arrival_ms,1842,6031.511342967705
2025,2,pitch_type,x_cm,1842,30150.90587750465
2025,2,pitch_type,z_cm,1842,34659.70103707025
2025,2,pitch_type,depth_cm,1842,64717.86246989492
2025,2,pitch_type,arrival_ms,1842,6663.241113655564
2025,3,baseline,x_cm,2025,124022.77603433441
2025,3,baseline,z_cm,2025,87220.02084913175
2025,3,baseline,depth_cm,2025,90870.17309368758
2025,3,baseline,arrival_ms,2025,9156.546527102131
2025,3,annual,x_cm,2025,32025.83744273051
2025,3,annual,z_cm,2025,36141.59828016038
2025,3,annual,depth_cm,2025,54457.1580039501
2025,3,annual,arrival_ms,2025,5366.337868276613
2025,3,monthly,x_cm,2025,26928.03757824991
2025,3,monthly,z_cm,2025,33818.716919830295
2025,3,monthly,depth_cm,2025,41646.36669493339
2025,3,monthly,arrival_ms,2025,3952.951324212554
2025,3,pitch_type,x_cm,2025,31561.464100707104
2025,3,pitch_type,z_cm,2025,34686.53597318655
2025,3,pitch_type,depth_cm,2025,54517.49403649937
2025,3,pitch_type,arrival_ms,2025,5351.829799371707
2025,4,baseline,x_cm,2055,117261.573984421
2025,4,baseline,z_cm,2055,91380.09682790996
2025,4,baseline,depth_cm,2055,111873.18206147046
2025,4,baseline,arrival_ms,2055,11014.681842548922
2025,4,annual,x_cm,2055,33960.49065982255
2025,4,annual,z_cm,2055,37239.25083945101
2025,4,annual,depth_cm,2055,67025.62367694086
2025,4,annual,arrival_ms,2055,6343.559428648364
2025,4,monthly,x_cm,2055,27429.012096949835
2025,4,monthly,z_cm,2055,34714.138128197446
2025,4,monthly,depth_cm,2055,55917.09545533886
2025,4,monthly,arrival_ms,2055,5172.757658921936
2025,4,pitch_type,x_cm,2055,32808.382135523585
2025,4,pitch_type,z_cm,2055,35953.81969252951
2025,4,pitch_type,depth_cm,2055,66878.14561240011
2025,4,pitch_type,arrival_ms,2055,6383.903785860871
